Periodo,Estacion,Media,Varianza
1921-1950,DJF,-0.03700000000000001,0.0557941379310345
1921-1950,MAM,-0.05000000000000002,0.030503448275862075
1921-1950,JJA,-0.061666666666666654,0.02059367816091954
1921-1950,SON,0.0733333333333333,0.027381609195402303
1951-1980,DJF,-0.0023333333333333335,0.050384022988505764
1951-1980,MAM,9.251858538542971e-19,0.02510344827586207
1951-1980,JJA,0.000666666666666664,0.014537471264367816
1951-1980,SON,-0.0013333333333333355,0.026384367816091957
1981-2010,DJF,0.519,0.0792437931034483
1981-2010,MAM,0.5066666666666667,0.07634022988505747
1981-2010,JJA,0.397,0.06818034482758623
1981-2010,SON,0.42600000000000005,0.1113903448275862
